날짜,요일,홈,방문,구장,관중수
2021-04-03,토,키움,삼성,고척,"1,665"
2021-04-04,일,KT,한화,수원,"1,956"
2021-04-04,일,두산,KIA,잠실,"2,410"
2021-04-04,일,NC,LG,창원,"4,376"
2021-04-04,일,SSG,롯데,문학,"2,300"
2021-04-04,일,키움,삼성,고척,"1,655"
2021-04-06,화,SSG,한화,문학,"2,268"
2021-04-06,화,키움,KIA,고척,"1,614"
2021-04-06,화,KT,LG,수원,"1,956"
2021-04-06,화,NC,롯데,창원,"2,327"
2021-04-06,화,두산,삼성,잠실,"2,245"
2021-04-07,수,SSG,한화,문학,"2,264"
2021-04-07,수,키움,KIA,고척,"1,628"
2021-04-07,수,KT,LG,수원,"1,706"
2021-04-07,수,NC,롯데,창원,"2,225"
2021-04-07,수,두산,삼성,잠실,"2,142"
2021-04-08,목,SSG,한화,문학,"2,278"
2021-04-08,목,키움,KIA,고척,"1,660"
2021-04-08,목,KT,LG,수원,"1,605"
2021-04-08,목,NC,롯데,창원,"2,261"
2021-04-08,목,두산,삼성,잠실,"2,273"
2021-04-09,금,삼성,KT,대구,"2,724"
2021-04-09,금,KIA,NC,광주,"3,869"
2021-04-09,금,한화,두산,대전,"1,300"
2021-04-09,금,LG,SSG,잠실,"2,414"
2021-04-09,금,롯데,키움,사직,"2,364"
2021-04-10,토,삼성,KT,대구,"3,813"
2021-04-10,토,KIA,NC,광주,"4,114"
2021-04-10,토,한화,두산,대전,"1,300"
2021-04-10,토,LG,SSG,잠실,"2,431"
2021-04-10,토,롯데,키움,사직,"2,364"
2021-04-11,일,삼성,KT,대구,"4,658"
2021-04-11,일,KIA,NC,광주,"4,264"
2021-04-11,일,한화,두산,대전,"1,300"
2021-04-11,일,LG,SSG,잠실,"2,454"
2021-04-11,일,롯데,키움,사직,"2,364"
2021-04-13,화,삼성,한화,대구,"1,363"
2021-04-13,화,두산,KT,잠실,"1,128"
2021-04-13,화,키움,LG,고척,"1,479"
2021-04-13,화,KIA,롯데,광주,808
2021-04-13,화,SSG,NC,문학,"1,632"
2021-04-14,수,삼성,한화,대구,"1,564"
2021-04-14,수,두산,KT,잠실,"1,038"
2021-04-14,수,키움,LG,고척,"1,311"
2021-04-14,수,KIA,롯데,광주,884
2021-04-14,수,SSG,NC,문학,"1,571"
2021-04-15,목,삼성,한화,대구,"1,728"
2021-04-15,목,두산,KT,잠실,"1,124"
2021-04-15,목,키움,LG,고척,"1,354"
2021-04-15,목,KIA,롯데,광주,"1,503"
2021-04-15,목,SSG,NC,문학,"1,539"
2021-04-16,금,NC,한화,창원,"5,061"
2021-04-16,금,SSG,KIA,문학,"2,300"
2021-04-16,금,LG,두산,잠실,"2,442"
2021-04-16,금,롯데,삼성,사직,"1,927"
2021-04-16,금,KT,키움,수원,929
2021-04-17,토,NC,한화,창원,"3,495"
2021-04-17,토,SSG,KIA,문학,"2,300"
2021-04-17,토,LG,두산,잠실,"2,472"
2021-04-17,토,롯데,삼성,사직,"2,364"
2021-04-17,토,KT,키움,수원,"1,658"
2021-04-18,일,NC,한화,창원,"2,632"
2021-04-18,일,SSG,KIA,문학,"2,300"
2021-04-18,일,LG,두산,잠실,"2,472"
2021-04-18,일,롯데,삼성,사직,"2,364"
2021-04-18,일,KT,키움,수원,"1,956"
2021-04-20,화,LG,KIA,잠실,"2,453"
2021-04-20,화,NC,KT,창원,"1,229"
2021-04-20,화,롯데,두산,사직,"1,197"
2021-04-20,화,삼성,SSG,대구,"2,104"
2021-04-20,화,한화,키움,대전,"1,003"
2021-04-21,수,LG,KIA,잠실,"2,457"
2021-04-21,수,NC,KT,창원,"1,103"
2021-04-21,수,롯데,두산,사직,"1,278"
2021-04-21,수,삼성,SSG,대구,"2,823"
2021-04-21,수,한화,키움,대전,"1,007"
2021-04-22,목,LG,KIA,잠실,"2,472"
2021-04-22,목,NC,KT,창원,"1,393"
2021-04-22,목,롯데,두산,사직,"1,686"
2021-04-22,목,삼성,SSG,대구,"2,636"
2021-04-22,목,한화,키움,대전,"1,071"
2021-04-23,금,한화,LG,대전,"1,300"
2021-04-23,금,KT,롯데,수원,"1,544"
2021-04-23,금,두산,NC,잠실,"2,225"
2021-04-23,금,키움,SSG,고척,"1,258"
2021-04-23,금,KIA,삼성,광주,"1,318"
2021-04-24,토,한화,LG,대전,"1,300"
2021-04-24,토,KT,롯데,수원,"1,956"
2021-04-24,토,두산,NC,잠실,"2,410"
2021-04-24,토,키움,SSG,고척,"1,638"
2021-04-24,토,KIA,삼성,광주,"2,808"
2021-04-25,일,한화,LG,대전,"1,300"
2021-04-25,일,KT,롯데,수원,"1,956"
2021-04-25,일,두산,NC,잠실,"2,410"
2021-04-25,일,키움,SSG,고척,"1,640"
2021-04-25,일,KIA,삼성,광주,"2,749"
2021-04-27,화,KIA,한화,광주,898
2021-04-27,화,SSG,KT,문학,"1,756"
2021-04-27,화,LG,롯데,잠실,"2,347"
2021-04-27,화,삼성,NC,대구,"2,528"
2021-04-27,화,키움,두산,고척,"1,166"
2021-04-28,수,KIA,한화,광주,"1,502"
2021-04-28,수,SSG,KT,문학,"1,797"
2021-04-28,수,LG,롯데,잠실,"2,455"
2021-04-28,수,삼성,NC,대구,"2,130"
2021-04-28,수,키움,두산,고척,"1,213"
2021-04-29,목,KIA,한화,광주,"1,478"
2021-04-29,목,SSG,KT,문학,"2,132"
2021-04-29,목,LG,롯데,잠실,"2,472"
2021-04-29,목,삼성,NC,대구,"2,628"
2021-04-29,목,키움,두산,고척,"1,394"
2021-04-30,금,롯데,한화,사직,"2,271"
2021-04-30,금,KT,KIA,수원,"1,956"
2021-04-30,금,삼성,LG,대구,"4,161"
2021-04-30,금,두산,SSG,잠실,"2,410"
2021-04-30,금,NC,키움,창원,"1,909"
2021-05-01,토,롯데,한화,사직,"2,351"
2021-05-01,토,KT,KIA,수원,"1,956"
2021-05-01,토,삼성,LG,대구,"7,033"
2021-05-01,토,두산,SSG,잠실,"2,427"
2021-05-01,토,NC,키움,창원,"2,694"
2021-05-02,일,롯데,한화,사직,"2,364"
2021-05-02,일,KT,KIA,수원,"1,956"
2021-05-02,일,삼성,LG,대구,"7,033"
2021-05-02,일,두산,SSG,잠실,"2,427"
2021-05-02,일,NC,키움,창원,"2,066"
2021-05-05,수,롯데,KIA,사직,"2,364"
2021-05-05,수,키움,KT,고척,"1,674"
2021-05-05,수,두산,LG,잠실,"2,427"
2021-05-05,수,NC,SSG,창원,"4,768"
2021-05-05,수,한화,삼성,대전,"3,900"
2021-05-06,목,롯데,KIA,사직,"2,068"
2021-05-06,목,키움,KT,고척,957
2021-05-06,목,두산,LG,잠실,"2,427"
2021-05-06,목,NC,SSG,창원,"1,980"
2021-05-06,목,한화,삼성,대전,"2,522"
2021-05-07,금,삼성,롯데,대구,"5,960"
2021-05-08,토,LG,한화,잠실,"2,441"
2021-05-08,토,삼성,롯데,대구,"7,033"
2021-05-08,토,KT,NC,수원,"1,566"
2021-05-08,토,KIA,두산,광주,"2,462"
2021-05-08,토,SSG,키움,문학,"2,300"
2021-05-09,일,LG,한화,잠실,"2,472"
2021-05-09,일,LG,한화,잠실,"2,472"
2021-05-09,일,삼성,롯데,대구,"7,033"
2021-05-09,일,KT,NC,수원,"1,759"
2021-05-09,일,KT,NC,수원,845
2021-05-09,일,KIA,두산,광주,"2,646"
2021-05-09,일,KIA,두산,광주,"1,142"
2021-05-09,일,SSG,키움,문학,"2,300"
2021-05-09,일,SSG,키움,문학,"2,156"
2021-05-11,화,KIA,LG,광주,"1,047"
2021-05-11,화,한화,NC,대전,"1,065"
2021-05-11,화,롯데,SSG,사직,"1,915"
2021-05-11,화,KT,삼성,수원,"1,646"
2021-05-11,화,두산,키움,잠실,"1,606"
2021-05-12,수,KIA,LG,광주,"1,337"
2021-05-12,수,한화,NC,대전,"1,007"
2021-05-12,수,롯데,SSG,사직,"1,529"
2021-05-12,수,KT,삼성,수원,"1,608"
2021-05-12,수,두산,키움,잠실,"1,628"
2021-05-13,목,KIA,LG,광주,"1,168"
2021-05-13,목,한화,NC,대전,"1,103"
2021-05-13,목,롯데,SSG,사직,"1,823"
2021-05-13,목,KT,삼성,수원,"1,956"
2021-05-13,목,두산,키움,잠실,"1,896"
2021-05-14,금,키움,한화,고척,"1,563"
2021-05-14,금,NC,KIA,창원,"2,329"
2021-05-14,금,롯데,KT,사직,"1,816"
2021-05-14,금,SSG,두산,문학,"2,300"
2021-05-14,금,LG,삼성,잠실,"2,472"
2021-05-15,토,키움,한화,고척,"1,674"
2021-05-15,토,NC,KIA,창원,"1,590"
2021-05-15,토,롯데,KT,사직,"1,365"
2021-05-15,토,LG,삼성,잠실,"2,455"
2021-05-16,일,키움,한화,고척,"1,674"
2021-05-17,월,SSG,두산,문학,"1,664"
2021-05-17,월,LG,삼성,잠실,"1,975"
2021-05-18,화,한화,롯데,대전,"1,927"
2021-05-18,화,LG,NC,잠실,"2,428"
2021-05-18,화,KT,두산,수원,"1,722"
2021-05-18,화,KIA,SSG,광주,"2,446"
2021-05-18,화,삼성,키움,대구,"4,225"
2021-05-19,수,한화,롯데,대전,"3,900"
2021-05-19,수,LG,NC,잠실,"2,472"
2021-05-19,수,KT,두산,수원,"1,956"
2021-05-19,수,KIA,SSG,광주,"3,378"
2021-05-19,수,삼성,키움,대구,"7,033"
2021-05-20,목,LG,NC,잠실,"1,929"
2021-05-21,금,삼성,KIA,대구,"3,495"
2021-05-21,금,한화,KT,대전,948
2021-05-21,금,SSG,LG,문학,"2,300"
2021-05-21,금,두산,롯데,잠실,"2,427"
2021-05-21,금,키움,NC,고척,"1,009"
2021-05-22,토,삼성,KIA,대구,"7,033"
2021-05-22,토,한화,KT,대전,"3,103"
2021-05-22,토,SSG,LG,문학,"2,300"
2021-05-22,토,두산,롯데,잠실,"2,427"
2021-05-22,토,키움,NC,고척,"1,674"
2021-05-23,일,삼성,KIA,대구,"6,780"
2021-05-23,일,한화,KT,대전,"2,516"
2021-05-23,일,SSG,LG,문학,"2,300"
2021-05-23,일,두산,롯데,잠실,"2,427"
2021-05-23,일,키움,NC,고척,"1,618"
2021-05-26,수,두산,한화,잠실,"2,385"
2021-05-26,수,롯데,LG,사직,"1,536"
2021-05-26,수,KT,SSG,수원,"1,420"
2021-05-26,수,NC,삼성,창원,"2,199"
2021-05-26,수,KIA,키움,광주,"1,003"
2021-05-27,목,두산,한화,잠실,"2,085"
2021-05-27,목,롯데,LG,사직,"1,310"
2021-05-27,목,KT,SSG,수원,"1,141"
2021-05-27,목,NC,삼성,창원,"1,763"
2021-05-27,목,KIA,키움,광주,"1,047"
2021-05-28,금,KIA,KT,광주,"1,032"
2021-05-28,금,삼성,두산,대구,"4,027"
2021-05-28,금,한화,SSG,대전,"1,663"
2021-05-28,금,LG,키움,잠실,"2,409"
2021-05-29,토,KIA,KT,광주,"2,352"
2021-05-29,토,롯데,NC,사직,"1,544"
2021-05-29,토,롯데,NC,사직,"3,527"
2021-05-29,토,삼성,두산,대구,"7,033"
2021-05-29,토,한화,SSG,대전,"3,900"
2021-05-29,토,LG,키움,잠실,"2,429"
2021-05-30,일,KIA,KT,광주,"3,179"
2021-05-30,일,롯데,NC,사직,"2,874"
2021-05-30,일,삼성,두산,대구,"6,500"
2021-05-30,일,한화,SSG,대전,"2,987"
2021-05-30,일,LG,키움,잠실,"2,472"
2021-06-01,화,한화,KIA,대전,"1,133"
2021-06-01,화,LG,KT,잠실,"1,656"
2021-06-01,화,키움,롯데,고척,"1,090"
2021-06-01,화,NC,두산,창원,"1,414"
2021-06-01,화,SSG,삼성,문학,"2,300"
2021-06-02,수,한화,KIA,대전,"1,474"
2021-06-02,수,LG,KT,잠실,"1,820"
2021-06-02,수,키움,롯데,고척,"1,048"
2021-06-02,수,NC,두산,창원,"1,354"
2021-06-02,수,SSG,삼성,문학,"2,300"
2021-06-03,목,키움,롯데,고척,"1,197"
2021-06-04,금,NC,한화,창원,"1,742"
2021-06-04,금,KIA,LG,광주,"1,230"
2021-06-04,금,KT,롯데,수원,"1,709"
2021-06-04,금,두산,SSG,잠실,"2,427"
2021-06-04,금,키움,삼성,고척,"1,585"
2021-06-05,토,NC,한화,창원,"3,365"
2021-06-05,토,KIA,LG,광주,"2,983"
2021-06-05,토,KT,롯데,수원,"2,000"
2021-06-05,토,두산,SSG,잠실,"2,427"
2021-06-05,토,키움,삼성,고척,"1,674"
2021-06-06,일,NC,한화,창원,"2,296"
2021-06-06,일,KIA,LG,광주,"1,807"
2021-06-06,일,KT,롯데,수원,"2,000"
2021-06-06,일,두산,SSG,잠실,"2,427"
2021-06-06,일,키움,삼성,고척,"1,674"
2021-06-08,화,삼성,KIA,대구,"1,241"
2021-06-08,화,SSG,KT,문학,"1,902"
2021-06-08,화,LG,NC,잠실,"1,847"
2021-06-08,화,롯데,두산,사직,"1,285"
2021-06-08,화,한화,키움,대전,936
2021-06-09,수,삼성,KIA,대구,"1,341"
2021-06-09,수,SSG,KT,문학,"1,792"
2021-06-09,수,LG,NC,잠실,"1,736"
2021-06-09,수,롯데,두산,사직,"1,308"
2021-06-09,수,한화,키움,대전,920
2021-06-10,목,삼성,KIA,대구,"1,597"
2021-06-10,목,LG,NC,잠실,"1,624"
2021-06-10,목,롯데,두산,사직,"1,422"
2021-06-10,목,한화,키움,대전,872
2021-06-11,금,KT,한화,수원,"1,661"
2021-06-11,금,삼성,NC,대구,"1,233"
2021-06-11,금,LG,두산,잠실,"2,472"
2021-06-11,금,SSG,키움,문학,"2,231"
2021-06-12,토,KT,한화,수원,"2,000"
2021-06-12,토,삼성,NC,대구,"2,317"
2021-06-12,토,LG,두산,잠실,"2,472"
2021-06-12,토,SSG,키움,문학,"2,300"
2021-06-13,일,KT,한화,수원,"2,000"
2021-06-13,일,롯데,KIA,사직,"2,119"
2021-06-13,일,롯데,KIA,사직,"2,284"
2021-06-13,일,삼성,NC,대구,"2,240"
2021-06-13,일,LG,두산,잠실,"2,472"
2021-06-13,일,SSG,키움,문학,"2,300"
2021-06-15,화,키움,LG,고척,"1,348"
2021-06-15,화,한화,롯데,대전,"1,067"
2021-06-15,화,두산,삼성,잠실,"2,706"
2021-06-16,수,NC,KT,창원,"1,127"
2021-06-16,수,키움,LG,고척,"1,445"
2021-06-16,수,한화,롯데,대전,805
2021-06-16,수,한화,롯데,대전,"1,150"
2021-06-16,수,KIA,SSG,광주,573
2021-06-16,수,KIA,SSG,광주,916
2021-06-16,수,두산,삼성,잠실,"3,702"
2021-06-17,목,NC,KT,창원,"1,143"
2021-06-17,목,키움,LG,고척,"1,739"
2021-06-17,목,한화,롯데,대전,"1,078"
2021-06-17,목,KIA,SSG,광주,925
2021-06-17,목,두산,삼성,잠실,"3,258"
2021-06-18,금,LG,KIA,잠실,"4,860"
2021-06-18,금,KT,두산,수원,"1,445"
2021-06-18,금,한화,SSG,대전,"1,084"
2021-06-18,금,롯데,삼성,사직,"1,737"
2021-06-18,금,NC,키움,창원,"1,273"
2021-06-19,토,LG,KIA,잠실,"7,405"
2021-06-19,토,KT,두산,수원,"2,274"
2021-06-19,토,KT,두산,수원,"2,922"
2021-06-19,토,한화,SSG,대전,"3,552"
2021-06-19,토,롯데,삼성,사직,"5,382"
2021-06-19,토,NC,키움,창원,"3,074"
2021-06-20,일,LG,KIA,잠실,"6,602"
2021-06-20,일,KT,두산,수원,"2,585"
2021-06-20,일,한화,SSG,대전,"2,107"
2021-06-20,일,롯데,삼성,사직,"3,485"
2021-06-20,일,NC,키움,창원,"2,071"
2021-06-22,화,삼성,한화,대구,"2,127"
2021-06-22,화,KT,KIA,수원,"1,668"
2021-06-22,화,SSG,LG,문학,"3,625"
2021-06-22,화,롯데,NC,사직,"2,036"
2021-06-22,화,두산,키움,잠실,"1,364"
2021-06-23,수,삼성,한화,대구,"2,366"
2021-06-23,수,KT,KIA,수원,"1,368"
2021-06-23,수,SSG,LG,문학,"3,587"
2021-06-23,수,롯데,NC,사직,"1,705"
2021-06-23,수,두산,키움,잠실,"1,585"
2021-06-24,목,삼성,한화,대구,"3,029"
2021-06-24,목,KT,KIA,수원,"1,625"
2021-06-24,목,SSG,LG,문학,"4,253"
2021-06-24,목,롯데,NC,사직,"2,197"
2021-06-24,목,두산,키움,잠실,"1,773"
2021-06-25,금,키움,KIA,고척,"1,981"
2021-06-25,금,한화,KT,대전,"1,123"
2021-06-25,금,두산,롯데,잠실,"3,558"
2021-06-25,금,NC,SSG,창원,"2,375"
2021-06-26,토,키움,KIA,고척,"3,346"
2021-06-26,토,한화,KT,대전,"2,241"
2021-06-26,토,삼성,LG,대구,"3,445"
2021-06-26,토,삼성,LG,대구,"8,162"
2021-06-26,토,두산,롯데,잠실,"5,297"
2021-06-26,토,NC,SSG,창원,"3,576"
2021-06-27,일,키움,KIA,고척,"2,696"
2021-06-27,일,한화,KT,대전,"1,545"
2021-06-27,일,삼성,LG,대구,"8,007"
2021-06-27,일,두산,롯데,잠실,"4,549"
2021-06-27,일,NC,SSG,창원,"2,771"
2021-06-29,화,키움,롯데,고척,"1,639"
2021-06-29,화,KIA,NC,광주,746
2021-06-29,화,SSG,삼성,문학,"3,120"
2021-06-30,수,LG,KT,잠실,"2,851"
2021-06-30,수,키움,롯데,고척,"2,001"
2021-06-30,수,한화,두산,대전,"1,082"
2021-06-30,수,SSG,삼성,문학,"2,481"
2021-06-30,수,SSG,삼성,문학,"2,886"
2021-07-01,목,LG,KT,잠실,"2,919"
2021-07-01,목,키움,롯데,고척,"2,049"
2021-07-01,목,KIA,NC,광주,842
2021-07-01,목,한화,두산,대전,"1,255"
2021-07-01,목,SSG,삼성,문학,"3,239"
2021-07-02,금,LG,한화,잠실,"4,589"
2021-07-02,금,SSG,롯데,문학,"4,529"
2021-07-02,금,KIA,두산,광주,"1,391"
2021-07-02,금,NC,삼성,창원,"3,608"
2021-07-02,금,KT,키움,수원,"1,667"
2021-07-04,일,LG,한화,잠실,"3,428"
2021-07-04,일,SSG,롯데,문학,"4,288"
2021-07-04,일,KIA,두산,광주,"1,218"
2021-07-04,일,NC,삼성,창원,"3,603"
2021-07-04,일,KT,키움,수원,"2,066"
2021-07-05,월,LG,한화,잠실,"2,075"
2021-07-05,월,SSG,롯데,문학,"2,473"
2021-07-05,월,KT,키움,수원,"1,015"
2021-07-06,화,두산,NC,잠실,"1,633"
2021-07-06,화,키움,SSG,고척,"1,549"
