순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,144,76,59,9,0.563,0,3승1무6패,1승,1941-07-24,35-2-35
2,두산,144,71,65,8,0.522,5.5,5승2무3패,2승,35-6-31,36-2-34
3,삼성,144,76,59,9,0.563,0,6승1무3패,1승,1942-04-26,34-5-33
4,LG,144,72,58,14,0.554,1.5,3승5무2패,1패,1940-03-29,1932-11-29
5,키움,144,70,67,7,0.511,7,6승1무3패,3승,1942-04-26,28-3-41
6,SSG,144,66,64,14,0.508,7.5,4승2무4패,1패,1937-08-27,29-6-37
7,NC,144,67,68,9,0.496,9,4승1무5패,1패,36-2-34,31-7-34
8,롯데,144,65,71,8,0.478,11.5,4승2무4패,1승,31-5-36,34-3-35
9,KIA,144,58,76,10,0.433,17.5,5승0무5패,2패,31-4-37,27-6-39
10,한화,144,49,83,12,0.371,25.5,2승2무6패,6패,25-7-40,24-5-43
