"행정구역(시군구)별",2021,2022,2023
"함평군",17980,18010,18065
"영광군",27112,27549,27602
"장성군",23160,23358,23400
"완도군",26029,25781,25602
"진도군",16700,16578,16548
"신안군",21843,21816,21946
"경상북도",1276846,1286873,1282500
"포항시",232201,232371,233932
"남구",109419,109532,110639
"북구",122782,122839,123293
"경주시",123071,124027,124577
"김천시",68393,69038,69125
"안동시",77666,77759,78283
"구미시",182645,184786,187139
"영주시",50271,50663,51423
"영천시",53904,54431,54976
"상주시",48965,49315,49493
"문경시",37069,37056,36814
"경산시",124869,127392,129264
"군위군",13258,13693,-
"의성군",28798,29005,29471
"청송군",14029,14038,13999
"영양군",9055,9070,8994
"영덕군",19895,19741,19725
"청도군",23251,23443,23525
"고령군",16556,16758,17023
"성주군",23621,23918,24059
"칠곡군",53883,54443,54578
"예천군",27771,28155,28145
"봉화군",16882,16830,16823
"울진군",25535,25462,25527
"울릉군",5258,5479,5605
"경상남도",1505971,1516930,1525502
"창원시",451940,456191,456830
"의창구",95630,96712,96997
"성산구",105052,106194,106216
"마산합포구",84087,84722,85763
"마산회원구",82405,82697,82225
"진해구",84766,85866,85629
"진주시",157292,158827,159833
"통영시",59738,59506,59466
"사천시",53944,54395,55125
"사천남양출장소",-,0,0
"김해시",225984,228540,231783
"장유출장소",-,0,0
"밀양시",53120,53674,53906
"거제시",103674,103495,104565
"양산시",153732,155897,158640
"양산시웅상출장소",-,0,0
"의령군",15010,15098,14923
"함안군",30978,30808,30566
"창녕군",32469,32198,32027
"고성군",26318,26564,26546
"남해군",22786,22774,22534
"하동군",23769,23675,23567
"산청군",19600,19576,19639
"함양군",20840,20868,20679
"거창군",30564,30659,30934
"합천군",24213,24185,23939
"제주시",219978,222599,224433
"서귀포시",87551,88756,88722
