날짜,요일,홈,방문,구장,관중수
2022-04-02,토,두산,한화,잠실,"16,271"
2022-04-02,토,KIA,LG,광주,"16,908"
2022-04-02,토,키움,롯데,고척,"8,257"
2022-04-02,토,NC,SSG,창원,"7,814"
2022-04-02,토,KT,삼성,수원,"17,057"
2022-04-03,일,두산,한화,잠실,"11,345"
2022-04-03,일,KIA,LG,광주,"10,290"
2022-04-03,일,키움,롯데,고척,"6,115"
2022-04-03,일,NC,SSG,창원,"4,808"
2022-04-03,일,KT,삼성,수원,"10,321"
2022-04-05,화,KIA,한화,광주,"2,840"
2022-04-05,화,키움,LG,고척,"2,298"
2022-04-05,화,NC,롯데,창원,"3,246"
2022-04-05,화,KT,SSG,수원,"2,055"
2022-04-05,화,두산,삼성,잠실,"4,109"
2022-04-06,수,KIA,한화,광주,"3,117"
2022-04-06,수,키움,LG,고척,"2,304"
2022-04-06,수,NC,롯데,창원,"3,000"
2022-04-06,수,KT,SSG,수원,"2,094"
2022-04-06,수,두산,삼성,잠실,"4,161"
2022-04-07,목,KIA,한화,광주,"2,773"
2022-04-07,목,키움,LG,고척,"2,055"
2022-04-07,목,NC,롯데,창원,"3,017"
2022-04-07,목,KT,SSG,수원,"2,530"
2022-04-07,목,두산,삼성,잠실,"4,055"
2022-04-08,금,SSG,KIA,문학,"15,615"
2022-04-08,금,한화,KT,대전,"5,520"
2022-04-08,금,LG,NC,잠실,"10,623"
2022-04-08,금,롯데,두산,사직,"8,860"
2022-04-08,금,삼성,키움,대구,"9,244"
2022-04-09,토,SSG,KIA,문학,"21,005"
2022-04-09,토,한화,KT,대전,"6,538"
2022-04-09,토,LG,NC,잠실,"14,328"
2022-04-09,토,롯데,두산,사직,"13,045"
2022-04-09,토,삼성,키움,대구,"13,059"
2022-04-10,일,SSG,KIA,문학,"17,849"
2022-04-10,일,한화,KT,대전,"5,735"
2022-04-10,일,LG,NC,잠실,"13,095"
2022-04-10,일,롯데,두산,사직,"11,646"
2022-04-10,일,삼성,키움,대구,"11,610"
2022-04-12,화,삼성,한화,대구,"4,047"
2022-04-12,화,KIA,롯데,광주,"3,654"
2022-04-12,화,키움,NC,고척,774
2022-04-12,화,KT,두산,수원,"2,450"
2022-04-12,화,LG,SSG,잠실,"6,028"
2022-04-13,수,삼성,한화,대구,"2,156"
2022-04-13,수,키움,NC,고척,893
2022-04-13,수,LG,SSG,잠실,"4,547"
2022-04-14,목,삼성,한화,대구,"2,869"
2022-04-14,목,KIA,롯데,광주,"3,838"
2022-04-14,목,키움,NC,고척,"1,020"
2022-04-14,목,KT,두산,수원,"2,241"
2022-04-14,목,LG,SSG,잠실,"6,500"
2022-04-15,금,NC,KIA,창원,"3,002"
2022-04-15,금,롯데,KT,사직,"4,610"
2022-04-15,금,한화,LG,대전,"3,320"
2022-04-15,금,SSG,삼성,문학,"9,441"
2022-04-15,금,두산,키움,잠실,"4,423"
2022-04-16,토,NC,KIA,창원,"4,580"
2022-04-16,토,롯데,KT,사직,"10,639"
2022-04-16,토,한화,LG,대전,"8,112"
2022-04-16,토,SSG,삼성,문학,"16,037"
2022-04-16,토,두산,키움,잠실,"9,737"
2022-04-17,일,NC,KIA,창원,"3,902"
2022-04-17,일,롯데,KT,사직,"9,231"
2022-04-17,일,한화,LG,대전,"6,566"
2022-04-17,일,SSG,삼성,문학,"15,104"
2022-04-17,일,두산,키움,잠실,"8,762"
2022-04-19,화,롯데,한화,사직,"4,053"
2022-04-19,화,LG,KT,잠실,"4,537"
2022-04-19,화,KIA,두산,광주,"2,658"
2022-04-19,화,NC,삼성,창원,"1,725"
2022-04-19,화,SSG,키움,문학,"5,931"
2022-04-20,수,롯데,한화,사직,"4,340"
2022-04-20,수,LG,KT,잠실,"4,595"
2022-04-20,수,KIA,두산,광주,"4,010"
2022-04-20,수,NC,삼성,창원,"2,104"
2022-04-20,수,SSG,키움,문학,"5,061"
2022-04-21,목,롯데,한화,사직,"3,306"
2022-04-21,목,LG,KT,잠실,"4,410"
2022-04-21,목,KIA,두산,광주,"3,474"
2022-04-21,목,NC,삼성,창원,"1,675"
2022-04-21,목,SSG,키움,문학,"8,080"
2022-04-22,금,키움,KIA,고척,"4,289"
2022-04-22,금,두산,LG,잠실,"8,472"
2022-04-22,금,삼성,롯데,대구,"7,951"
2022-04-22,금,KT,NC,수원,"2,276"
2022-04-22,금,한화,SSG,대전,"3,146"
2022-04-23,토,키움,KIA,고척,"8,338"
2022-04-23,토,두산,LG,잠실,"17,799"
2022-04-23,토,삼성,롯데,대구,"14,983"
2022-04-23,토,KT,NC,수원,"8,255"
2022-04-23,토,한화,SSG,대전,"7,514"
2022-04-24,일,키움,KIA,고척,"7,406"
2022-04-24,일,두산,LG,잠실,"14,848"
2022-04-24,일,삼성,롯데,대구,"12,782"
2022-04-24,일,KT,NC,수원,"5,719"
2022-04-24,일,한화,SSG,대전,"6,612"
2022-04-26,화,KT,KIA,수원,"6,277"
2022-04-26,화,삼성,LG,대구,"3,920"
2022-04-26,화,두산,NC,잠실,"3,644"
2022-04-26,화,롯데,SSG,사직,"2,731"
2022-04-26,화,한화,키움,대전,"2,647"
2022-04-27,수,KT,KIA,수원,"6,123"
2022-04-27,수,삼성,LG,대구,"5,063"
2022-04-27,수,두산,NC,잠실,"3,450"
2022-04-27,수,롯데,SSG,사직,"6,831"
2022-04-27,수,한화,키움,대전,"3,459"
2022-04-28,목,KT,KIA,수원,"6,111"
2022-04-28,목,삼성,LG,대구,"5,279"
2022-04-28,목,두산,NC,잠실,"5,223"
2022-04-28,목,롯데,SSG,사직,"7,126"
2022-04-28,목,한화,키움,대전,"3,531"
2022-04-29,금,NC,한화,창원,"3,405"
2022-04-29,금,키움,KT,고척,"1,770"
2022-04-29,금,LG,롯데,잠실,"15,681"
2022-04-29,금,SSG,두산,문학,"10,306"
2022-04-29,금,KIA,삼성,광주,"7,487"
2022-04-30,토,NC,한화,창원,"6,045"
2022-04-30,토,키움,KT,고척,"4,075"
2022-04-30,토,LG,롯데,잠실,"23,018"
2022-04-30,토,SSG,두산,문학,"20,094"
2022-04-30,토,KIA,삼성,광주,"11,159"
2022-05-01,일,NC,한화,창원,"5,185"
2022-05-01,일,키움,KT,고척,"3,213"
2022-05-01,일,LG,롯데,잠실,"20,513"
2022-05-01,일,SSG,두산,문학,"18,130"
2022-05-01,일,KIA,삼성,광주,"11,555"
2022-05-03,화,SSG,한화,문학,"9,110"
2022-05-03,화,KT,롯데,수원,"6,251"
2022-05-03,화,삼성,NC,대구,"5,728"
2022-05-03,화,LG,두산,잠실,"10,124"
2022-05-03,화,KIA,키움,광주,"5,277"
2022-05-04,수,SSG,한화,문학,"11,331"
2022-05-04,수,KT,롯데,수원,"7,532"
2022-05-04,수,삼성,NC,대구,"8,712"
2022-05-04,수,LG,두산,잠실,"14,480"
2022-05-04,수,KIA,키움,광주,"11,234"
2022-05-05,목,SSG,한화,문학,"23,000"
2022-05-05,목,KT,롯데,수원,"20,000"
2022-05-05,목,삼성,NC,대구,"20,938"
2022-05-05,목,LG,두산,잠실,"24,012"
2022-05-05,목,KIA,키움,광주,"16,072"
2022-05-06,금,한화,KIA,대전,"10,305"
2022-05-06,금,두산,KT,잠실,"8,709"
2022-05-06,금,NC,LG,창원,"5,883"
2022-05-06,금,키움,SSG,고척,"4,627"
2022-05-06,금,롯데,삼성,사직,"22,990"
2022-05-07,토,한화,KIA,대전,"11,114"
2022-05-07,토,두산,KT,잠실,"10,546"
2022-05-07,토,NC,LG,창원,"5,585"
2022-05-07,토,키움,SSG,고척,"5,637"
2022-05-07,토,롯데,삼성,사직,"22,990"
2022-05-08,일,한화,KIA,대전,"7,918"
2022-05-08,일,두산,KT,잠실,"7,124"
2022-05-08,일,NC,LG,창원,"3,642"
2022-05-08,일,키움,SSG,고척,"4,765"
2022-05-08,일,롯데,삼성,사직,"16,456"
2022-05-10,화,LG,한화,잠실,"7,270"
2022-05-10,화,KIA,KT,광주,"5,240"
2022-05-10,화,롯데,NC,사직,"8,521"
2022-05-10,화,키움,두산,고척,"3,564"
2022-05-10,화,삼성,SSG,대구,"5,088"
2022-05-11,수,LG,한화,잠실,"8,064"
2022-05-11,수,KIA,KT,광주,"6,542"
2022-05-11,수,롯데,NC,사직,"7,761"
2022-05-11,수,키움,두산,고척,"2,641"
2022-05-11,수,삼성,SSG,대구,"4,786"
2022-05-12,목,LG,한화,잠실,"8,620"
2022-05-12,목,KIA,KT,광주,"5,224"
2022-05-12,목,롯데,NC,사직,"8,782"
2022-05-12,목,키움,두산,고척,"2,649"
2022-05-12,목,삼성,SSG,대구,"5,541"
2022-05-13,금,LG,KIA,잠실,"19,411"
2022-05-13,금,한화,롯데,대전,"6,773"
2022-05-13,금,SSG,NC,문학,"8,121"
2022-05-13,금,KT,키움,수원,"4,246"
2022-05-14,토,LG,KIA,잠실,"24,132"
2022-05-14,토,한화,롯데,대전,"10,860"
2022-05-14,토,SSG,NC,문학,"15,131"
2022-05-14,토,삼성,두산,대구,"17,161"
2022-05-14,토,KT,키움,수원,"10,061"
2022-05-15,일,LG,KIA,잠실,"23,097"
